Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Pennsylvania,New Castle,ABC Computers,5,Acer,Chromebook Spin 311,HDD,Michael Chan,Second-hand Sales,20246,24683,Finance,92,2022-03-20,2022-03-23,24257,16GB,849,Online,Medium,0,749,20782,256GB
Africa,Kenya,Kisumu,S & A Computer Place,7,Toshiba,Tecra,HDD,Cassandra Mcmillan,Repairs,3843,6126,Bank Transfer,216,2021-03-13,,0,16GB,456,Offline,High,1319,534,4887,256GB
North America,Illinois,Mount Prospect,LJ Computers,6,Toshiba,Satellite,HDD,Jeremy Thomas,New Sales,26813,28959,Bank Transfer,17,2021-04-28,,0,4GB,507,Offline,Medium,0,850,28172,256GB
Africa,Nigeria,Rivers,Frankies Hardware and Software,1,Acer,Aspire 7,HDD,Randy Dillon,Repairs,23915,26815,Cash,972,2022-10-16,,0,4GB,711,Offline,High,4815,654,26359,500GB
Africa,Egypt,Dakahlia,Ricks Computers,8,MSI,GP65 Leopard,SSD,Evan Scott,Returns,18484,22047,Finance,727,2023-09-06,2023-09-28,11923,4GB,831,Online,Medium,0,28,19096,1TB
Africa,Ethiopia,Benishangul-Gumuz,Mini Tech,8,Toshiba,Tecra,SSD,Michael Summers,Returns,9093,13168,Cash,454,2021-06-18,,0,8GB,633,Offline,Low,0,476,11079,500GB
Africa,Kenya,Trans Nzoia,GHI Machines,5,Lenovo,IdeaCentre AIO 3,SSD,Jeffrey Cook,New Sales,18862,23324,Cash,31,2022-10-26,2022-11-24,0,8GB,690,Online,Low,0,665,20463,500GB
North America,Florida,Clearwater,Jacks Hardware,4,Samsung,Chromebook 4,HDD,Rachel Rowe,Second-hand Sales,20727,24224,Finance,515,2024-03-05,,22268,4GB,589,Offline,Medium,0,333,21184,500GB
North America,Illinois,Bloomington,Greens Laptops and PCs,7,Dell,OptiPlex,SSD,Jason Phillips,Repairs,23960,27375,Bank Transfer,786,2022-10-31,,0,16GB,798,Offline,Low,4729,192,26249,500GB
Africa,Angola,Luanda,DEF Machines,6,Samsung,Galaxy Chromebook 2,HDD,Aaron Thomas,Returns,18026,21734,Finance,635,2021-11-09,2021-11-24,29376,4GB,525,Online,Low,0,410,21571,500GB
Africa,Kenya,Kakamega,Frankies Hardware and Software,1,HP,Elitebook,SSD,Kenneth Moore,Repairs,27268,30468,Cash,276,2024-02-08,,0,16GB,776,Offline,High,4634,844,29693,1TB
North America,California,Oakland,GHI Machines,2,MSI,GF63 Thin,HDD,Sean Rodriguez,Second-hand Sales,13477,17126,Cash,871,2021-04-08,,0,2GB,627,Offline,High,0,40,13589,500GB
North America,North Carolina,Concord,Frankies Hardware and Software,4,Toshiba,Tecra,SSD,Tamara Clark,Returns,15686,20244,Cash,199,2023-04-18,2023-04-20,0,8GB,646,Online,Low,0,916,19402,256GB
Africa,Tanzania,Lindi,GH PC Shop,2,HP,Chromebook,HDD,Antonio Cobb,Repairs,20605,25152,Bank Transfer,124,2021-06-22,,0,8GB,542,Offline,Medium,2500,87,23738,1TB
North America,Ohio,Westerville,A & A PCs,3,Asus,ZenBook UX425,SSD,Erin Tucker,New Sales,22749,26842,Bank Transfer,271,2023-02-17,2023-03-10,0,2GB,543,Online,High,0,993,26334,1TB
North America,Ohio,Newark,ABC Computers,2,Microsoft,Surface Go,HDD,Roger Cole,Repairs,20974,23486,Cash,792,2021-04-08,2021-04-26,0,16GB,787,Online,Medium,4316,911,21290,1TB
North America,Ohio,Middletown,Western International PCs,3,Toshiba,Satellite,HDD,Eric James,Second-hand Sales,5362,10262,Bank Transfer,977,2021-06-25,2021-06-26,0,16GB,604,Online,High,0,665,6655,1TB
Africa,Ghana,Upper East,Frankies Hardware and Software,10,Samsung,Notebook 9 Pro,HDD,George Morales,Returns,3136,7912,Bank Transfer,370,2023-04-28,,0,4GB,496,Offline,High,0,941,7716,1TB
Africa,Botswana,Ghanzi,GH PC Shop,9,Apple,Apple Lisa,SSD,Melissa Dunn,Returns,20270,24059,Cash,568,2023-04-23,,0,4GB,737,Offline,High,0,122,22673,1TB
Africa,Nigeria,Zamfara,Benjis Tech,10,Toshiba,Portege,HDD,Jennifer Marshall,Repairs,10062,13324,Cash,1,2021-05-23,2021-06-03,0,4GB,456,Online,Medium,4529,976,11509,1TB
North America,California,Moreno Valley,Greens Laptops and PCs,6,Acer,Aspire E 15,HDD,Linda Perez,Repairs,8281,10358,Cash,435,2023-04-19,2023-04-25,0,4GB,692,Online,Medium,3364,12,8660,256GB
Africa,Tanzania,Pemba Kusini,S & A Computer Place,1,Lenovo,ThinkPad P15s,SSD,David Osborn,Repairs,22572,26516,Bank Transfer,838,2021-05-21,2021-06-11,0,4GB,722,Online,Medium,2701,322,25635,500GB
North America,Illinois,Palatine,KyaSand Tech Gadgets,9,Toshiba,Dynabook,SSD,Kathleen Robinson,Returns,14506,17193,Bank Transfer,395,2023-08-21,2023-08-27,0,16GB,500,Online,High,0,540,14667,500GB
North America,Ohio,Elyria,DEF Machines,2,Microsoft,Surface Go,HDD,Jason Gentry,New Sales,14884,17620,Bank Transfer,666,2021-05-05,,0,16GB,847,Offline,High,0,962,16000,256GB
North America,Texas,Waco,Ricks Computers,7,Lenovo,ThinkPad P15s,HDD,Melanie Taylor,Returns,19759,24481,Bank Transfer,30,2022-09-04,2022-09-10,0,2GB,462,Online,Low,0,990,19769,256GB
North America,Pennsylvania,McKeesport,S & A Computer Place,1,Apple,Apple PowerBook G4,HDD,Carol Wells,New Sales,13846,16226,Finance,811,2021-08-13,,29166,16GB,501,Offline,Medium,0,548,15120,256GB
Africa,Angola,Lunda Sul,Western International PCs,2,Asus,VivoBook S14,HDD,Kimberly Duncan,New Sales,23810,28219,Cash,55,2023-12-09,2023-12-31,0,8GB,796,Online,High,0,262,27236,256GB
North America,Florida,Palm Bay,Greens Laptops and PCs,4,Samsung,Notebook 9,HDD,William Macdonald,Returns,7307,9707,Finance,881,2021-07-26,,28583,8GB,478,Offline,High,0,436,9073,500GB
Africa,Ghana,Brong-Ahafo,ABC Computers,7,Samsung,Notebook 5,SSD,Jessica Morgan,Second-hand Sales,27799,31447,Cash,499,2021-12-07,2021-12-26,0,2GB,645,Online,Medium,0,102,30123,500GB
Africa,Tanzania,Mara,GHI Machines,3,Microsoft,Surface Neo,HDD,Antonio Cobb,Second-hand Sales,14872,17468,Bank Transfer,471,2023-04-28,2023-05-18,0,2GB,704,Online,High,0,900,15919,500GB
North America,Pennsylvania,York,ABC Computers,6,Lenovo,ThinkCentre M920 Tiny,SSD,Julia Dodson,Repairs,4687,7979,Bank Transfer,853,2022-02-19,,0,16GB,451,Offline,Low,3348,804,6368,1TB
North America,Illinois,Decatur,GHI Machines,5,Toshiba,Qosmio,SSD,Amanda Mitchell,New Sales,29520,32234,Cash,368,2021-08-11,2021-08-20,0,4GB,663,Online,Low,0,450,29539,256GB
North America,Michigan,Southfield,Greens Laptops and PCs,9,Toshiba,Satellite,SSD,Teresa Martin,Returns,8042,12082,Finance,600,2021-09-24,2021-10-21,23628,16GB,722,Online,Medium,0,561,9616,256GB
North America,Texas,Arlington,Benjis Tech,5,Apple,Apple MacBook Pro,HDD,Amanda Brown,Returns,23456,27800,Cash,451,2022-07-23,,0,16GB,599,Offline,High,0,789,25110,256GB
North America,Ohio,Youngstown,GH PC Shop,6,Samsung,Galaxy Chromebook 2,SSD,Diamond Baker,Returns,18030,21031,Cash,699,2023-08-10,2023-08-19,0,8GB,687,Online,Medium,0,127,19773,500GB
North America,Michigan,Detroit,S & A Computer Place,8,Microsoft,Surface Neo,HDD,Tiffany Velez,Repairs,29337,32725,Cash,1,2022-09-04,,0,8GB,551,Offline,High,4583,951,32395,256GB
North America,Georgia,Gainesville,DEF Machines,7,Asus,VivoBook S14,HDD,Kimberly Smith,Second-hand Sales,13907,17672,Bank Transfer,151,2021-05-24,2021-06-07,0,16GB,800,Online,Medium,0,604,16917,256GB
North America,New York,Binghamton,S & A Computer Place,10,Toshiba,Tecra,HDD,John Lee,Returns,10394,13453,Cash,433,2022-12-06,2023-01-04,0,8GB,559,Online,Medium,0,522,11460,256GB
North America,New York,Middletown,LJ Computers,8,Apple,Apple Macintosh Classic,SSD,John Lee,New Sales,11630,13709,Bank Transfer,676,2022-05-04,2022-06-01,0,2GB,625,Online,Low,0,978,11661,256GB
North America,Pennsylvania,Reading,GHI Machines,4,Microsoft,Surface Go,SSD,Thomas Perry,New Sales,6881,11437,Bank Transfer,458,2021-10-16,,0,4GB,739,Offline,High,0,201,8473,256GB
North America,New York,Glen Cove,Frankies Hardware and Software,2,Lenovo,ThinkPad X1 Carbon,SSD,Victoria Hodges,Returns,26281,28621,Cash,930,2023-11-24,,0,16GB,438,Offline,Medium,0,715,28517,1TB
Africa,Nigeria,Jigawa,Jacks Hardware,10,HP,Elitebook,SSD,Lisa Morgan,Repairs,23004,27260,Cash,633,2021-04-28,,0,16GB,682,Offline,Low,1834,676,24555,500GB
Africa,Angola,Cuanza Sul,Jacks Hardware,7,MSI,GE76 Raider,HDD,Kenneth Willis,Second-hand Sales,7910,10344,Bank Transfer,15,2023-07-23,,0,2GB,758,Offline,High,0,979,8120,500GB
Africa,Angola,Cuando Cubango,Frankies Hardware and Software,7,Lenovo,ThinkCentre M920 Tiny,SSD,John Graham,Second-hand Sales,19308,22316,Finance,157,2022-04-19,,19100,16GB,497,Offline,Low,0,569,21592,1TB
North America,New York,Long Beach,Jacks Hardware,3,Acer,Spin 5,HDD,Victoria Hodges,Second-hand Sales,12208,14622,Bank Transfer,939,2021-08-25,2021-08-30,0,16GB,738,Online,Medium,0,172,13793,500GB
North America,Pennsylvania,Wilkes-Barre,S & A Computer Place,4,Apple,Apple MacBook Air,SSD,Carol Wells,New Sales,26324,28386,Bank Transfer,832,2021-03-26,,0,8GB,433,Offline,Low,0,449,26543,256GB
Africa,Egypt,North Sinai,Ricks Computers,7,Microsoft,Surface Laptop,HDD,Jeffrey Nelson,Repairs,25981,29520,Bank Transfer,411,2023-12-20,2024-01-13,0,2GB,695,Online,Low,4892,943,29009,256GB
Africa,Tanzania,Iringa,Benjis Tech,1,Apple,Apple MacBook Pro,HDD,David Osborn,Repairs,27106,31775,Finance,711,2021-12-08,2021-12-20,46041,16GB,742,Online,High,3725,699,27676,500GB
Africa,Morocco,Nador,CK Tech Store,9,Dell,Inspiron,SSD,Jessica Thomas,New Sales,5349,10219,Cash,422,2023-01-02,,0,8GB,663,Offline,Medium,0,895,5569,500GB
North America,Michigan,Traverse City,Mini Tech,4,Samsung,Notebook Odyssey,HDD,Erika Larsen,Returns,28996,32630,Cash,779,2023-03-18,2023-04-17,0,8GB,666,Online,High,0,14,31705,256GB
Africa,Botswana,North-West,LJ Computers,4,Lenovo,IdeaPad Flex 5,HDD,Karen Hale,Second-hand Sales,16141,20502,Finance,653,2022-02-02,2022-02-19,43993,16GB,652,Online,High,0,984,16995,500GB
North America,Pennsylvania,Wilkes-Barre,ABC Computers,4,Asus,VivoBook S14,HDD,Nathan Villarreal,Repairs,21896,25571,Bank Transfer,499,2021-06-10,,0,8GB,571,Offline,High,4914,710,22082,256GB
Africa,Botswana,Kgatleng,A & A PCs,6,Dell,Chromebook,SSD,Sarah Riley,Second-hand Sales,16225,20826,Finance,476,2021-11-05,,37880,2GB,751,Offline,Medium,0,83,19341,256GB
Africa,Kenya,Murang’a,LJ Computers,7,Microsoft,Surface Laptop,SSD,Jason Robinson,Second-hand Sales,12801,15958,Bank Transfer,31,2022-07-29,2022-08-21,0,8GB,460,Online,Medium,0,847,13284,500GB
Africa,Tanzania,Lindi,Greens Laptops and PCs,2,Acer,Aspire 7,SSD,Alicia Evans,Second-hand Sales,3655,5790,Bank Transfer,52,2024-01-26,,0,8GB,708,Offline,Low,0,59,4321,256GB
North America,Illinois,Bloomington,GH PC Shop,2,MSI,GP76 Leopard,HDD,Amanda Mitchell,New Sales,16386,19758,Cash,102,2022-05-19,2022-06-03,0,16GB,822,Online,High,0,219,19108,256GB
Africa,Kenya,Migori,DEF Machines,8,HP,Omen,SSD,Misty Green,New Sales,16750,19187,Finance,933,2021-10-13,,44779,16GB,719,Offline,Medium,0,612,17128,500GB
Africa,Nigeria,Plateau,LJ Computers,5,Lenovo,IdeaPad Flex 5,SSD,Jennifer Marshall,Repairs,26876,30276,Finance,860,2021-10-11,2021-10-13,10285,8GB,408,Online,Low,4523,624,30228,256GB
Africa,Nigeria,Kebbi,Western International PCs,7,Microsoft,Surface Book,SSD,Pamela Morgan,New Sales,19822,22831,Finance,295,2021-09-03,2021-09-17,42268,16GB,584,Online,High,0,580,22501,1TB
Africa,Kenya,Baringo,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,Tonya Nolan,Returns,15926,17948,Finance,597,2023-03-09,,23493,2GB,649,Offline,High,0,752,16237,500GB
North America,Texas,El Paso,LJ Computers,3,MSI,GS75 Stealth,SSD,Courtney Morgan,Repairs,11860,15740,Cash,740,2023-09-09,,0,2GB,402,Offline,Low,1641,864,13504,256GB
Africa,Botswana,North-East,A & A PCs,6,Asus,Chromebook Flip C434,HDD,Madison Davis,Returns,13758,18500,Finance,432,2022-02-04,,11703,8GB,401,Offline,Low,0,557,17582,1TB
North America,Georgia,Macon,XYZ Tech,4,MSI,Modern 15,HDD,Joe Thomas,Second-hand Sales,10163,14740,Finance,955,2024-01-21,2024-02-06,29098,8GB,481,Online,Medium,0,773,11527,256GB
North America,California,San Bernardino,Mini Tech,5,Lenovo,ThinkPad X1 Carbon,HDD,Joe Black,Returns,26603,31153,Finance,522,2021-11-13,2021-12-08,39455,2GB,631,Online,Medium,0,411,29976,500GB
Africa,Ethiopia,Oromia,CK Tech Store,8,Acer,Predator Helios 300,SSD,Jacob Spencer,Returns,16975,20921,Cash,762,2021-09-11,,0,8GB,425,Offline,Low,0,710,20012,1TB
North America,Ohio,Strongsville,GH PC Shop,1,MSI,GF63 Thin,SSD,Max Mccann,Returns,14208,18424,Finance,752,2022-12-02,,6640,2GB,607,Offline,Medium,0,955,16263,1TB
Africa,Botswana,Central,Frankies Hardware and Software,9,Microsoft,Surface Studio,HDD,Heather Singleton,New Sales,17245,22134,Bank Transfer,387,2023-01-02,,0,4GB,770,Offline,Medium,0,99,21559,500GB
North America,California,Garden Grove,ABC Computers,10,Samsung,Galaxy Book S,SSD,Larry Smith,Repairs,7620,11425,Cash,217,2022-03-20,,0,4GB,401,Offline,Low,4708,207,10860,1TB
Africa,Angola,Cabinda,ABC Computers,9,Asus,ProArt StudioBook Pro X,SSD,John Graham,Second-hand Sales,21270,23484,Finance,842,2023-07-11,2023-07-24,49629,8GB,640,Online,Low,0,862,21520,1TB
Africa,Ghana,Volta,Frankies Hardware and Software,6,Samsung,Notebook Flash,HDD,Amanda Hurley,Repairs,26349,30515,Bank Transfer,917,2021-03-28,2021-04-12,0,4GB,741,Online,High,2171,280,29774,256GB
North America,Texas,Abilene,KyaSand Tech Gadgets,10,Toshiba,Tecra,HDD,Courtney Morgan,New Sales,21219,24349,Finance,629,2024-02-17,2024-03-11,34398,8GB,456,Online,High,0,225,23903,1TB
Africa,Ghana,Northern,Ricks Computers,8,MSI,P65 Creator,HDD,Kevin Lee,Returns,25975,30593,Bank Transfer,557,2021-03-29,2021-04-22,0,16GB,672,Online,Low,0,355,26107,500GB
North America,New York,Syracuse,KyaSand Tech Gadgets,3,Samsung,Galaxy Chromebook 2,SSD,Janet Hall,Second-hand Sales,23027,25652,Finance,168,2024-01-31,2024-02-08,32871,2GB,545,Online,Low,0,286,23212,500GB
Africa,Egypt,Giza,Mini Tech,6,Lenovo,IdeaPad 5,HDD,Diana Owens,Second-hand Sales,26181,31102,Cash,616,2022-08-05,2022-09-02,0,2GB,791,Online,Low,0,546,29629,500GB
North America,Illinois,Rockford,ABC Computers,8,Dell,Vostro,HDD,Amanda Mitchell,Repairs,4429,9365,Bank Transfer,247,2021-08-16,2021-09-04,0,8GB,415,Online,Medium,2135,98,8136,256GB
North America,Illinois,Rockford,KyaSand Tech Gadgets,2,Toshiba,Portege,SSD,Amanda Mitchell,New Sales,22839,26704,Bank Transfer,654,2023-11-03,2023-11-18,0,4GB,543,Online,Low,0,981,25338,500GB
Africa,Ghana,Volta,CK Tech Store,7,Dell,Inspiron,SSD,Sheila Nichols,New Sales,5394,7612,Bank Transfer,122,2023-10-22,,0,8GB,685,Offline,Medium,0,95,5427,1TB
North America,New York,Yonkers,Greens Laptops and PCs,7,MSI,GS75 Stealth,HDD,Sean Guerrero,Second-hand Sales,4484,7491,Bank Transfer,592,2023-09-03,,0,8GB,445,Offline,Low,0,889,7190,1TB
Africa,Nigeria,Lagos,Greens Laptops and PCs,10,Acer,Nitro 5,HDD,Randy Dillon,Second-hand Sales,22449,24790,Cash,387,2022-12-17,,0,16GB,509,Offline,Low,0,51,23516,500GB
Africa,Tanzania,Pemba Kaskazini,Western International PCs,4,Microsoft,Surface Neo,HDD,Aaron Taylor,Second-hand Sales,12559,15701,Finance,743,2022-05-29,2022-06-13,21460,4GB,808,Online,Low,0,750,15681,1TB
North America,New York,White Plains,LJ Computers,6,Dell,Chromebook,SSD,Sean Guerrero,New Sales,7526,10262,Bank Transfer,963,2024-01-20,,0,4GB,461,Offline,High,0,321,7979,256GB
Africa,Egypt,Qena,Jacks Hardware,1,Toshiba,Portege,SSD,Allison Gilbert,Returns,5908,8904,Finance,886,2021-11-16,2021-11-26,5277,16GB,744,Online,Low,0,877,6527,1TB
North America,New York,Schenectady,Western International PCs,6,Samsung,Notebook 9,SSD,Kelsey Olson,New Sales,28865,33315,Bank Transfer,354,2022-09-24,2022-10-23,0,16GB,703,Online,High,0,792,30349,1TB
North America,North Carolina,Greensboro,Benjis Tech,3,Lenovo,Legion 5,HDD,Tamara Clark,Repairs,23682,26057,Cash,338,2023-03-19,,0,2GB,758,Offline,High,4949,952,25175,1TB
Africa,Angola,Cuanza Norte,S & A Computer Place,3,Dell,Inspiron,HDD,Brian Clarke,Returns,25281,29087,Finance,796,2022-11-11,,29132,4GB,505,Offline,High,0,327,25487,256GB
North America,Texas,Garland,S & A Computer Place,5,Microsoft,Surface Go,HDD,Lori Washington,Repairs,28419,32881,Bank Transfer,209,2023-02-27,2023-03-17,0,4GB,581,Online,High,1203,572,29588,1TB
Africa,Morocco,Chichaoua,CK Tech Store,5,Toshiba,Satellite,HDD,Gina Day,Returns,12878,16259,Bank Transfer,162,2021-08-29,,0,16GB,576,Offline,Medium,0,39,14549,1TB
Africa,Morocco,Safi,S & A Computer Place,5,Asus,ZenBook Flip S UX371,HDD,Gwendolyn Thomas,Second-hand Sales,28858,31202,Cash,922,2021-08-02,2021-08-18,0,4GB,524,Online,High,0,101,29033,500GB
Africa,Angola,Zaire,GH PC Shop,10,Acer,Chromebook Spin 311,HDD,Kenneth Willis,New Sales,7111,10132,Cash,302,2022-04-26,2022-05-14,0,16GB,810,Online,High,0,422,10068,256GB
Africa,South Africa,Western Cape,ABC Computers,5,Toshiba,Satellite,SSD,Mark Landry,Repairs,3572,7072,Finance,683,2023-10-24,2023-11-16,41913,2GB,841,Online,High,1877,389,3976,500GB
Africa,Angola,Cabinda,Frankies Hardware and Software,1,Asus,ZenBook Flip S UX371,SSD,Lori Anderson,Second-hand Sales,20121,24010,Bank Transfer,914,2022-06-15,,0,4GB,745,Offline,High,0,253,23890,256GB
Africa,Ghana,Brong-Ahafo,A & A PCs,5,Asus,ZenBook UX425,SSD,Jonathan Miller,Second-hand Sales,6064,10099,Bank Transfer,265,2021-03-25,,0,16GB,577,Offline,High,0,802,6237,256GB
North America,North Carolina,Wilmington,GH PC Shop,2,Samsung,Galaxy Chromebook 2,SSD,Tony Valenzuela,New Sales,21344,24967,Finance,213,2023-03-11,2023-04-03,7045,2GB,483,Online,Low,0,241,24839,500GB
Africa,Morocco,Figuig,XYZ Tech,9,Asus,ROG Strix Scar III,HDD,Amy Owens,Second-hand Sales,25626,30126,Finance,27,2023-09-06,2023-09-29,8598,2GB,820,Online,Low,0,886,26336,1TB
North America,Michigan,Port Huron,Mini Tech,8,Dell,Chromebook,SSD,Teresa Martin,Second-hand Sales,23296,25332,Bank Transfer,12,2023-08-30,,0,4GB,684,Offline,High,0,948,24387,256GB
North America,Georgia,Augusta,ABC Computers,1,Toshiba,Dynabook,SSD,Jacqueline Rice,Returns,11942,15691,Cash,559,2022-12-22,2023-01-15,0,16GB,655,Online,High,0,540,12436,500GB
North America,Pennsylvania,Philadelphia,Western International PCs,10,Lenovo,IdeaPad Flex 5,SSD,Julia Dodson,Repairs,17700,21895,Bank Transfer,847,2023-12-15,,0,8GB,615,Offline,Medium,3897,371,19584,500GB
North America,Michigan,Troy,Frankies Hardware and Software,5,Microsoft,Surface Duo,HDD,Tiffany Velez,Repairs,24826,29021,Finance,202,2022-05-04,2022-05-06,25580,8GB,825,Online,High,1115,616,27996,500GB
North America,Texas,Odessa,Frankies Hardware and Software,1,Acer,Nitro 5,SSD,Michael Koch,New Sales,20972,23426,Cash,427,2021-11-25,,0,16GB,496,Offline,Low,0,817,22322,1TB
North America,Georgia,Peachtree City,A & A PCs,10,HP,Stream,SSD,Chris Jones,Returns,25036,29510,Bank Transfer,552,2022-05-14,2022-06-02,0,2GB,641,Online,High,0,254,27707,500GB
Africa,Botswana,North-West,ABC Computers,2,Asus,TUF Gaming A15,SSD,Sarah Riley,Returns,4963,8487,Finance,400,2021-10-24,,21344,16GB,489,Offline,Low,0,446,5364,256GB
Africa,Egypt,Luxor,KyaSand Tech Gadgets,9,Samsung,Notebook Flash,HDD,Christina Garza,New Sales,16021,18989,Bank Transfer,930,2022-06-05,,0,16GB,460,Offline,High,0,706,16724,500GB
Africa,Tanzania,Tabora,ABC Computers,9,Dell,Vostro,HDD,Antonio Cobb,Returns,9456,11489,Bank Transfer,960,2022-06-10,2022-06-17,0,4GB,443,Online,Medium,0,829,10260,256GB
Africa,Kenya,Kisii,ABC Computers,9,HP,ZBook,SSD,Tonya Nolan,Repairs,9060,12544,Finance,556,2024-01-12,,9983,16GB,412,Offline,High,3979,188,11034,256GB
North America,Illinois,Arlington Heights,Jacks Hardware,2,MSI,Alpha 15,SSD,Kathleen Robinson,Second-hand Sales,23540,25782,Finance,520,2021-06-16,2021-07-14,18939,16GB,446,Online,High,0,361,24052,256GB
Africa,Ghana,Upper West,XYZ Tech,8,Asus,ProArt StudioBook Pro X,SSD,George Morales,New Sales,29407,31508,Bank Transfer,450,2022-05-07,2022-05-24,0,8GB,760,Online,High,0,398,29478,256GB
North America,Georgia,Gainesville,Benjis Tech,9,Dell,Latitude,HDD,Renee Howell,Returns,24121,26673,Bank Transfer,184,2021-08-20,2021-09-15,0,4GB,475,Online,Medium,0,516,26271,500GB
Africa,Tanzania,Kigoma,GHI Machines,5,Dell,Venue,SSD,Tara Price,Second-hand Sales,4111,8079,Finance,592,2021-10-15,2021-11-02,42506,2GB,500,Online,Medium,0,214,7863,1TB
Africa,Kenya,Garissa,ABC Computers,9,HP,Chromebook,SSD,Jason Robinson,Repairs,15678,19714,Finance,783,2023-05-30,,34970,4GB,683,Offline,Low,2650,197,17973,256GB
North America,North Carolina,Statesville,Greens Laptops and PCs,5,Apple,Apple PowerBook G4,HDD,Brittany Franklin,Returns,2544,6362,Cash,171,2023-08-22,,0,16GB,663,Offline,Medium,0,531,5451,500GB
North America,California,Bakersfield,Benjis Tech,9,Apple,Apple iMac,SSD,Sean Rodriguez,New Sales,8677,12238,Cash,806,2023-12-27,2024-01-12,0,8GB,779,Online,High,0,146,8679,256GB
North America,Pennsylvania,Pittsburgh,ABC Computers,1,MSI,GL65 Leopard,SSD,Nathan Villarreal,Repairs,28097,31594,Cash,654,2023-02-13,,0,2GB,425,Offline,Medium,2628,946,30027,256GB
North America,North Carolina,Winston-Salem,Frankies Hardware and Software,10,HP,Pavilion,HDD,Tamara Clark,Returns,14215,19038,Bank Transfer,403,2024-01-07,,0,4GB,660,Offline,High,0,414,15157,256GB
North America,New York,Mount Vernon,GHI Machines,5,HP,Chromebook,SSD,Victoria Hodges,New Sales,13948,17726,Cash,342,2021-04-18,2021-04-25,0,8GB,429,Online,High,0,758,15797,1TB
Africa,Tanzania,Dodoma,Benjis Tech,9,Toshiba,Satellite,SSD,Mary Fisher,Repairs,18400,20793,Cash,283,2023-03-23,2023-04-05,0,8GB,502,Online,High,3534,398,18447,1TB
North America,North Carolina,Statesville,LJ Computers,5,Samsung,Notebook 9 Pro,HDD,Brady Walton,Second-hand Sales,16822,20563,Finance,276,2023-07-28,,39209,4GB,710,Offline,High,0,280,17727,256GB
Africa,Kenya,Narok,ABC Computers,4,Acer,Swift 3,HDD,Kenneth Moore,Repairs,21721,25389,Cash,612,2023-09-18,,0,16GB,645,Offline,High,3786,542,24759,500GB
North America,California,Irvine,Frankies Hardware and Software,5,Dell,OptiPlex,HDD,Andrew Miranda,Returns,13778,18225,Bank Transfer,471,2023-06-01,,0,4GB,791,Offline,Low,0,599,14579,500GB
North America,Pennsylvania,Lebanon,GH PC Shop,9,Asus,ROG Strix Scar III,SSD,Nathan Villarreal,Repairs,14178,16322,Bank Transfer,805,2022-04-19,,0,2GB,569,Offline,Medium,1316,99,15623,1TB
North America,New York,Middletown,GH PC Shop,5,MSI,GP65 Leopard,HDD,Natalie Jimenez,Repairs,16452,19648,Cash,389,2022-09-25,,0,16GB,570,Offline,Medium,3238,434,19548,1TB
Africa,Nigeria,Edo,Benjis Tech,9,Microsoft,Surface Go,SSD,Pamela Morgan,New Sales,25324,28529,Finance,211,2023-03-14,2023-03-30,28050,2GB,472,Online,High,0,604,27712,256GB
North America,Michigan,Ypsilanti,S & A Computer Place,4,Asus,ExpertBook B9,HDD,Erika Larsen,Repairs,26671,29180,Bank Transfer,188,2024-02-14,,0,4GB,711,Offline,High,4192,767,27335,256GB
Africa,South Africa,Eastern Cape,Greens Laptops and PCs,8,Apple,Apple iMac,SSD,Mark Landry,Returns,24602,27849,Bank Transfer,984,2021-12-24,,0,16GB,482,Offline,Medium,0,780,27226,256GB
Africa,Tanzania,Lindi,S & A Computer Place,5,Apple,Apple Lisa,SSD,Antonio Cobb,Repairs,15615,18263,Cash,911,2022-03-01,2022-03-25,0,4GB,470,Online,Low,3955,807,16413,500GB
Africa,Kenya,Nyamira,LJ Computers,4,HP,Chromebook,SSD,Amy Johnson,New Sales,20866,23439,Bank Transfer,433,2021-10-27,2021-10-30,0,8GB,441,Online,Medium,0,877,23424,1TB
North America,Pennsylvania,Reading,ABC Computers,10,Microsoft,Surface Pro,SSD,Carl Davis,New Sales,18812,22406,Bank Transfer,608,2021-03-18,,0,8GB,758,Offline,Low,0,947,20290,256GB
Africa,Botswana,Central,Western International PCs,9,Samsung,Notebook 9,SSD,Carrie Gonzalez,Returns,15647,17692,Finance,526,2022-05-27,,13640,4GB,711,Offline,High,0,652,16784,256GB
Africa,Botswana,Kgatleng,LJ Computers,10,Acer,Aspire E 15,SSD,Carrie Gonzalez,Returns,7797,11654,Bank Transfer,396,2023-10-03,,0,8GB,678,Offline,Medium,0,584,11427,1TB
North America,Florida,Palm Bay,Greens Laptops and PCs,10,Toshiba,Qosmio,HDD,Alexis Murray,New Sales,26730,30974,Cash,627,2023-12-12,,0,8GB,820,Offline,Low,0,633,29124,500GB
North America,New York,New York,GH PC Shop,6,Dell,OptiPlex,HDD,Sean Guerrero,Repairs,19516,23511,Cash,642,2024-02-08,2024-02-27,0,2GB,709,Online,High,4735,240,20146,500GB
